        2178           2           2           2           2           2
           2
    1  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
    2  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
    3  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
    4  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
    5  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
    6  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
    7  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
    8  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
    9  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   10  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   11  0.0456 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   12  0.0325 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   13  0.0250 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   14  0.0288 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   15  0.0381 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   16  0.0443 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   17  0.0475 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   18  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   19  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   20  0.0455 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   21  0.0306 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   22  0.0250 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   23  0.0290 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   24  0.0361 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   25  0.0424 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   26  0.0480 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   27  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   28  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   29  0.0458 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   30  0.0304 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   31  0.0250 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   32  0.0280 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   33  0.0336 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   34  0.0405 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   35  0.0486 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   36  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   37  0.0000 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   38  0.0466 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   39  0.0309 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
   40  0.0250 0.300E+00 0.150E+01 0.300E+02 0.310E+00 0.152E+01 0.600E+01 0.100E+00 0.150E-01 0.300E+00 0.100E+00 0.210E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01 0.100E+00 0.140E+01 0.150E+01
