           5           3           2
           1           4
         305           4
         304           4
         303           4
         302           4
           2           3
         548           4
         547           4
         546           4
           3           4
         728           4
         727           4
         726           4
         725           4
           4           4
        1223           4
        1222           4
        1221           4
        1220           4
           5           5
        1700           4
        1699           4
        1698           4
        1697           4
        1696           4
