24    2        
1    6        
1    545717.102    2551876.396    13
2    545703.651    2551879.928    12.106
3    545677.39    2551890.721    10.508
4    545654.051    2551900.339    11.977
5    545633.87    2551908.801    12.539
6    545617.212    2551917.278    12.464
2    6        
1    545692.103    2551770.782    13
2    545665.213    2551774.292    11.012
3    545637.337    2551777    10.443
4    545607.703    2551781.001    11.012
5    545589.679    2551783.096    11.082
6    545564.488    2551785.438    13
3    6        
1    545721.199    2551656.982    13
2    545692.528    2551651.525    10.425
3    545668.628    2551648.358    9.235
4    545647.449    2551645.336    9.819
5    545617.275    2551640.927    11.012
6    545583.234    2551635.725    13
4    6        
1    545790.993    2551513.21    13
2    545753.972    2551503.064    10.705
3    545726.58    2551494.306    9.435
4    545688.544    2551482.252    8.923
5    545658.972    2551473.851    9.96
6    545624.265    2551462.999    13
5    6        
1    545871.678    2551313.696    12.519
2    545824.529    2551307.047    10.874
3    545788.748    2551303.014    10.528
4    545726.394    2551294.957    9.14
5    545687.69    2551289.784    8.848
6    545650.337    2551285.82    13
6    6        
1    545933.156    2551051.382    13.933
2    545867.592    2551046.207    11.968
3    545820.336    2551040.477    10.32
4    545760.842    2551036.188    8.735
5    545714.951    2551029.595    10.78
6    545658.98    2551027.213    13
7    6        
1    545933.487    2550649.493    13
2    545874.107    2550667.955    11.239
3    545840.985    2550676.959    8.416
4    545751.424    2550704.477    8.463
5    545692.826    2550723.42    9.793
6    545626.598    2550745.368    13
8    6        
1    545774.569    2550361.029    13
2    545735.196    2550379.882    10.954
3    545679.99    2550408.197    10.767
4    545627.248    2550430.968    8.348
5    545591.132    2550449.304    9.369
6    545528.793    2550478.132    13
9    6        
1    545319.283    2549876.961    13
2    545298.827    2549921.866    8.854
3    545279.201    2549966.283    8.594
4    545260.831    2550012.394    8.335
5    545246.974    2550041.891    10.186
6    545218.829    2550105.611    13
10    6        
1    545071.242    2549748.86    13
2    545055.293    2549794.917    8.623
3    545043.102    2549833.117    8.562
4    545023.275    2549887.714    7.855
5    545012.199    2549925.836    8.624
6    544987.743    2549997.206    13
11    6        
1    544838.776    2549636.775    13
2    544821.726    2549688.712    11.146
3    544806.951    2549731.48    9.678
4    544791.277    2549775.762    7.662
5    544774.014    2549828.259    7.97
6    544753.005    2549893.444    13
12    6        
1    544567.093    2549493.796    13.439
2    544557.234    2549542.4    10.229
3    544543.897    2549607.731    8.294
4    544533.195    2549656.013    7.473
5    544524.223    2549692.887    8.812
6    544505.048    2549796.593    13
13    6        
1    544060.691    2549711.661    12.635
2    544112.307    2549760.56    9.919
3    544142.722    2549788.68    8.578
4    544182.063    2549822.22    7.683
5    544217.416    2549850.968    7.337
6    544283.667    2549912.768    13
14    6        
1    543902.321    2549960.599    13
2    543958.62    2549999.791    8.36
3    543992.549    2550022.147    7.589
4    544031.413    2550049.559    7.136
5    544078.4    2550082.044    11.351
6    544130.119    2550117.999    13
15    6        
1    543747.721    2550269.021    13
2    543799.916    2550296.448    8.909
3    543833.81    2550314.733    8.139
4    543869.781    2550335.514    7.113
5    543909.872    2550356.212    8.563
6    543979.23    2550395.253    13
16    6        
1    543522.648    2550628.308    13
2    543615.463    2550659.632    7.008
3    543663.056    2550676.643    7.008
4    543724.953    2550695.186    7.008
5    543782.62    2550717.831    8.472
6    543932.915    2550766.888    13
17    6        
1    543396.193    2551121.548    13
2    543478.453    2551140.112    7.284
3    543523.781    2551150.148    6.785
4    543579.964    2551163.758    8.286
5    543637.611    2551175.89    9.398
6    543749.152    2551202.17    13
18    6        
1    543367.336    2551520.965    13
2    543425.199    2551519.452    9.183
3    543465.559    2551519.301    7.036
4    543511.23    2551518.269    6.688
5    543569.658    2551520.645    9.736
6    543688.21    2551521.929    13.01
19    6        
1    543412.701    2551899.95    13
2    543474.267    2551871.785    7.69
3    543522.346    2551851.967    6.674
4    543573.548    2551830.649    6.991
5    543620.288    2551811.448    9.54
6    543709.719    2551772.481    13
20    6        
1    543611.587    2552211.533    13
2    543664.891    2552132.767    10.99
3    543687.212    2552099.179    10.503
4    543713.118    2552065.245    6.76
5    543737.159    2552024.765    6.66
6    543806.449    2551922.528    13
21    6        
1    544058.422    2552158.42    13
2    544048.185    2552107.272    7.618
3    544041.522    2552063.585    7.008
4    544032.19    2552012.186    7.008
5    544028.188    2551989.591    6.551
6    544014.084    2551926.776    13
22    6        
1    544315.994    2552142.697    13
2    544315.94    2552074.314    8.826
3    544313.697    2552016.634    7.008
4    544308.013    2551959.953    7.008
5    544304.763    2551905.286    6.5
6    544299.68    2551848.627    13
23    6        
1    544493.14    2552212.74    13
2    544508.506    2552130.481    6.037
3    544525.293    2552055.57    6.141
4    544534.109    2551991.851    8.787
5    544543.065    2551954.387    10.206
6    544554.943    2551895.493    13
24    6        
1    544860.733    2552293.394    13
2    544870.185    2552246.885    9.208
3    544882.183    2552204.773    8.155
4    544895.861    2552152.776    6.564
5    544907.809    2552104.086    5.73
6    544910.263    2552070.479    13
