1    57    
1    545617.212    2551917.278
2    545589.864    2551841.344
3    545576.166    2551784.532
4    545582.64    2551730.306
5    545592.396    2551660.146
6    545606.505    2551587.376
7    545621.334    2551528.068
8    545638.741    2551468.184
9    545661.75    2551383.724
10    545667.043    2551315.782
11    545672.57    2551240.495
12    545678.319    2551162.077
13    545682.67    2551056.379
14    545682.978    2550951.848
15    545683.981    2550853.541
16    545658.144    2550756.366
17    545634.318    2550667.156
18    545603.983    2550558.63
19    545564.483    2550460.958
20    545520.713    2550349.305
21    545462.374    2550260.426
22    545397.049    2550194.565
23    545310.741    2550125.975
24    545227.419    2550073.419
25    545149.878    2550035.602
26    545037.752    2549973.339
27    544960.245    2549946.293
28    544876.9    2549911.871
29    544777.955    2549872.812
30    544688.633    2549841.276
31    544581.929    2549785.958
32    544406.19    2549707.814
33    544217.676    2549891.965
34    544171.034    2549999.01
35    544052.373    2550194.474
36    544010.846    2550272.137
37    543931.81    2550418.327
38    543877.19    2550649.871
39    543865.718    2550863.927
40    543758.797    2550985.037
41    543678.271    2551178.912
42    543652.429    2551356.588
43    543646.588    2551538.897
44    543641.989    2551636.485
45    543665.719    2551744.292
46    543709.507    2551877.283
47    543777.335    2551942.749
48    543891.566    2551962.887
49    543986.045    2551954.898
50    544061.896    2551935.288
51    544172.906    2551905.695
52    544309.135    2551870.887
53    544416.664    2551889.919
54    544522.309    2551915.368
55    544639.756    2551957.338
56    544732.906    2551994.11
57    544910.263    2552070.479
2    59    
1    545695.155    2551874.356
2    545707.136    2551651.366
3    545726.407    2551568.394
4    545765.494    2551472.203
5    545792.338    2551399.168
6    545824.315    2551300.567
7    545844.399    2551244.942
8    545859.61    2551138.591
9    545862.756    2551053.762
10    545876.174    2550983.082
11    545887.66    2550885.608
12    545911.986    2550842.48
13    545903.117    2550699.543
14    545877.175    2550587.424
15    545832.326    2550509.766
16    545796.231    2550441.214
17    545731.298    2550335.2
18    545652.487    2550213.178
19    545584.842    2550107.54
20    545487.128    2550007.872
21    545380.351    2549936.441
22    545249.628    2549863.443
23    545135.377    2549808.491
24    545031.002    2549747.691
25    544915.989    2549691.263
26    544796.647    2549638.088
27    544683.857    2549575.693
28    544556.523    2549514.386
29    544372.977    2549477.614
30    544274.906    2549553.578
31    544205.195    2549613.755
32    543989.849    2549869.132
33    543918.449    2549996.616
34    543863.978    2550109.498
35    543779.779    2550262.801
36    543669.481    2550422.505
37    543588.379    2550590.916
38    543509.14      2550782.186
39    543484.328    2550923.555
40    543458.897    2551064.889
41    543424.009    2551231.28
42    543415.337    2551327.055
43    543394.591    2551513.136
44    543398.83      2551632.326
45    543403.949    2551726.893
46    543430.424    2551861.643
47    543482.947    2551977.532
48    543521.402    2552053.717
49    543617.987    2552153.93
50    543771.619    2552236.8
51    543896.767    2552192.619
52    544051.642    2552136.115
53    544203.577    2552090.014
54    544318.563    2552108.602
55    544412.736    2552130.052
56    544521.184    2552171.803
57    544647.599    2552212.253
58    544757.094    2552259.305
59    544860.733    2552293.394
